0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 2.00, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 2.00, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 2.00, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 1.98, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 1.97, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 1.96, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 1.96, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.17, 0.02, 1.97, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.20, 0.02, 2.01, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.04, 0.02, 2.02, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 2.00, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 1.85, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 1.48, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.78, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.37, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.15, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.05, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.60, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.91, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 1.25, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.06, 0.02, 1.62, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.02, 1.79, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.13, 0.02, 1.91, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.14, 0.02, 2.06, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.26, 0.11, 2.39, 
0.02, 0.03, 0.02, 0.02, 0.02, 0.93, 1.05, 2.86, 
0.02, 0.51, 0.02, 0.02, 0.02, 1.84, 1.95, 2.99, 
0.02, 0.74, 0.02, 0.02, 0.02, 2.22, 2.26, 3.01, 
0.02, 0.90, 0.02, 0.02, 0.02, 2.22, 2.21, 2.99, 
0.02, 1.05, 0.02, 0.02, 0.02, 2.10, 2.21, 2.99, 
0.02, 1.11, 0.02, 0.02, 0.02, 2.11, 2.19, 2.96, 
0.02, 0.98, 0.02, 0.02, 0.02, 1.96, 2.01, 2.90, 
0.02, 0.56, 0.02, 0.02, 0.02, 1.77, 1.69, 2.79, 
0.02, 0.22, 0.02, 0.02, 0.02, 1.41, 1.23, 2.52, 
0.02, 0.06, 0.02, 0.02, 0.02, 0.77, 0.62, 1.81, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.34, 0.25, 0.87, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.12, 0.07, 0.40, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.04, 0.03, 0.17, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.06, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.27, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.17, 2.44, 
0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 1.06, 2.83, 
0.02, 0.12, 0.02, 0.02, 0.02, 0.91, 1.86, 3.01, 
0.02, 0.80, 0.02, 0.02, 0.02, 2.38, 2.70, 3.11, 
